0.0,49,3,21,8
0.01,14,7,2,3
0.02,9,5,1,1
0.03,15,9,1,1
0.04,17,12,1,1
0.05,20,15,1,1
0.06,25,20,2,2
0.07,13,10,1,1
0.08,26,23,2,1
0.09,43,35,3,3
0.1,50,40,3,2
0.11,45,39,2,3
0.12,83,56,19,5
0.13,70,42,5,5
0.14,120,53,10,4
0.15,57,50,4,4
0.16,79,60,8,5
0.17,154,87,19,7
0.18,77,47,10,4
0.19,111,98,23,9
0.2,124,75,15,6
0.21,127,94,14,9
0.22,99,79,9,6
0.23,122,90,13,7
0.24,126,81,17,7
0.25,121,91,14,8
0.26,144,99,18,9
0.27,149,106,19,9
0.28,189,106,29,9
0.29,180,98,28,9
0.3,207,129,35,9
0.31,257,118,55,11
0.32,295,186,127,16
0.33,412,109,33,10
0.34,235,115,40,12
0.35,262,121,44,12
0.36,227,113,37,12
0.37,253,117,47,13
0.38,259,119,47,13
0.39,251,116,45,12
0.4,238,119,65,40
0.41,364,141,53,14
0.42,261,132,49,15
0.43,287,145,88,27
0.44,314,124,50,14
0.45,266,126,52,13
0.46,260,136,52,24
0.47,318,132,59,16
0.48,285,134,53,15
0.49,284,139,54,16
0.5,271,138,54,17
0.51,289,131,59,18
0.52,270,130,52,17
0.53,287,135,57,18
0.54,253,130,49,17
0.55,289,134,55,16
0.56,280,136,64,22
0.57,506,200,99,20
0.58,362,130,55,17
0.59,250,119,53,17
0.6,260,121,54,17
0.61,259,125,57,17
0.62,259,121,54,23
0.63,285,121,55,18
0.64,262,135,58,19
0.65,282,131,60,19
0.66,272,123,56,18
0.67,263,125,56,19
0.68,269,139,62,19
0.69,281,126,60,18
0.7,275,133,65,23
0.71,286,128,60,19
0.72,267,126,59,20
0.73,277,133,59,20
0.74,280,126,59,20
0.75,267,126,59,21
0.76,280,140,85,37
0.77,284,125,61,21
0.78,270,126,63,21
0.79,263,124,60,21
0.8,264,126,61,21
0.81,264,126,61,21
0.82,267,125,62,22
0.83,272,128,64,22
0.84,268,125,63,22
0.85,270,126,61,22
0.86,264,125,61,22
0.87,273,134,73,23
0.88,274,129,65,23
0.89,274,129,65,24
0.9,275,129,66,24
0.91,270,128,64,24
0.92,271,128,65,24
0.93,274,128,67,24
0.94,273,129,68,24
0.95,272,128,66,25
0.96,271,129,66,24
0.97,271,129,66,25
0.98,270,129,66,24
0.99,272,129,67,25
