0,15,0.0,4061
1,11,0.01,2327
2,6,0.02,2722
3,14,0.03,1421
4,8,0.04,1609
5,8,0.05,1751
6,9,0.06,1886
7,15,0.07,963
8,9,0.08,1005
9,17,0.09,1049
10,7,0.1,1090
11,19,0.11,1140
12,12,0.12,1194
13,4,0.13,1261
14,5,0.14,1324
15,5,0.15,649
16,13,0.16,657
17,5,0.17,683
18,5,0.18,691
19,5,0.19,714
20,11,0.2,750
21,32,0.21,748
22,4,0.22,763
23,5,0.23,782
24,3,0.24,803
25,5,0.25,822
26,4,0.26,853
27,4,0.27,876
28,4,0.28,901
29,7,0.29,926
30,10,0.3,956
31,3,0.31,467
32,3,0.32,470
33,7,0.33,474
34,3,0.34,483
35,3,0.35000000000000003,490
36,6,0.36,493
37,6,0.37,505
38,5,0.38,514
39,2,0.39,513
40,3,0.4,518
41,2,0.41000000000000003,531
42,3,0.42,533
43,2,0.43,540
44,7,0.44,546
45,2,0.45,550
46,2,0.46,561
47,5,0.47000000000000003,566
48,3,0.48,571
49,2,0.49,577
50,3,0.5,586
51,2,0.51,589
52,1,0.52,595
53,2,0.53,602
54,2,0.54,605
55,1,0.55,613
56,2,0.56,620
57,1,0.5700000000000001,629
58,2,0.58,630
59,4,0.59,633
60,2,0.6,639
61,5,0.61,647
62,2,0.62,289
63,2,0.63,291
64,2,0.64,295
65,3,0.65,291
66,2,0.66,292
67,3,0.67,294
68,10,0.68,294
69,4,0.6900000000000001,295
70,2,0.7000000000000001,294
71,3,0.71,293
72,3,0.72,292
73,2,0.73,290
74,2,0.74,293
75,2,0.75,292
76,2,0.76,293
77,2,0.77,290
78,2,0.78,297
79,2,0.79,299
80,2,0.8,300
81,4,0.81,294
82,2,0.8200000000000001,291
83,3,0.8300000000000001,291
84,2,0.84,289
85,2,0.85,293
86,2,0.86,291
87,2,0.87,290
88,2,0.88,293
89,2,0.89,291
90,3,0.9,312
91,1,0.91,291
92,2,0.92,293
93,2,0.93,290
94,2,0.9400000000000001,287
95,2,0.9500000000000001,297
96,1,0.96,291
97,9,0.97,292
98,2,0.98,294
